          Value      Data   WLP
200 0.002227377 predicted 0.000
201 0.002227377 predicted 0.000
202 0.002227377 predicted 0.000
203 0.002227377 predicted 0.000
204 0.002227377 predicted 0.000
205 0.002227377 predicted 0.000
206 0.002227377 predicted 0.000
207 0.002227377 predicted 0.000
208 0.002227377 predicted 0.000
209 0.002227377 predicted 0.000
210 0.002227377 predicted 0.000
211 0.002227377 predicted 0.000
212 0.002227377 predicted 0.000
213 0.002227377 predicted 0.000
214 0.002227377 predicted 0.000
215 0.002227377 predicted 0.000
216 0.002227377 predicted 0.000
217 0.002227377 predicted 0.000
218 1.000000000  observed 0.364
219 0.000000000  observed 0.000
220 1.000000000  observed 0.750
221 1.000000000  observed 0.545
222 0.000000000  observed 0.000
223 1.000000000  observed 0.571
224 1.000000000  observed 0.250
225 1.000000000  observed 1.000
226 1.000000000  observed 0.100
227 1.000000000  observed 1.000
228 1.000000000  observed 0.500
229 0.000000000  observed 0.000
230 1.000000000  observed 0.636
231 1.000000000  observed 1.000
232 1.000000000  observed 0.889
233 1.000000000  observed 1.000
234 1.000000000  observed 0.727
235 0.000000000  observed 0.000
236 0.000000000  observed 0.000
237 0.000000000  observed 0.000
238 0.000000000  observed 0.091
239 0.000000000  observed 0.000
240 1.000000000  observed 1.000
241 0.000000000  observed 0.000
242 0.000000000  observed 0.083
243 0.000000000  observed 0.000
244 0.000000000  observed 0.000
245 0.000000000  observed 0.000
246 1.000000000  observed 0.778
247 0.000000000  observed 0.000
248 0.000000000  observed 0.000
249 0.000000000  observed 0.000
250 0.000000000  observed 0.000
251 0.000000000  observed 0.000
252 0.000000000  observed 0.000
253 0.000000000  observed 0.000
254 0.000000000  observed 0.000
255 0.000000000  observed 0.000
256 0.000000000  observed 0.000
257 0.000000000  observed 0.000
258 0.000000000  observed 0.000
259 1.000000000  observed 0.727
260 0.000000000  observed 0.083
261 0.000000000  observed 0.000
262 0.000000000  observed 0.000
263 0.000000000  observed 0.000
264 0.000000000  observed 0.000
265 0.000000000  observed 0.000
266 0.000000000  observed 0.000
267 1.000000000  observed 0.909
268 0.000000000  observed 0.143
269 0.000000000  observed 0.000
270 1.000000000  observed 1.000
271 0.000000000  observed 0.000
272 0.000000000  observed 0.000
273 0.000000000  observed 0.000
274 0.000000000  observed 0.200
275 0.000000000  observed 0.000
276 0.000000000  observed 0.000
277 0.000000000  observed 0.000
278 0.000000000  observed 0.000
279 0.000000000  observed 0.000
280 0.000000000  observed 0.000
281 0.000000000  observed 0.000
282 0.000000000  observed 0.000
283 0.000000000  observed 0.000
284 0.000000000  observed 0.000
285 0.000000000  observed 0.000
286 0.000000000  observed 0.000
287 0.000000000  observed 0.000
288 0.000000000  observed 0.000
289 0.000000000  observed 0.000
290 0.000000000  observed 0.000
291 0.000000000  observed 0.000
292 0.000000000  observed 0.000
293 0.000000000  observed 0.000
294 0.000000000  observed 0.000
295 0.000000000  observed 0.000
296 0.000000000  observed 0.000
297 0.000000000  observed 0.000
298 0.000000000  observed 0.000
299 0.000000000  observed 0.000
300 0.000000000  observed 0.000
301 0.000000000  observed 0.000
302 0.000000000  observed 0.000
303 0.000000000  observed 0.000
304 0.000000000  observed 0.000
305 0.000000000  observed 0.000
306 0.000000000  observed 0.000
307 0.000000000  observed 0.000
308 0.000000000  observed 0.000
309 0.000000000  observed 0.000
310 0.000000000  observed 0.000
311 0.000000000  observed 0.000
312 0.000000000  observed 0.000
313 0.000000000  observed 0.000
314 0.000000000  observed 0.000
315 0.000000000  observed 0.000
316 0.000000000  observed 0.000
317 1.000000000  observed 1.000
318 0.000000000  observed 0.000
319 0.000000000  observed 0.000
320 0.000000000  observed 0.000
321 0.000000000  observed 0.000
322 0.000000000  observed 0.000
323 0.000000000  observed 0.000
324 0.000000000  observed 0.000
325 0.000000000  observed 0.000
326 0.000000000  observed 0.000
327 0.000000000  observed 0.000
328 0.000000000  observed 0.000
329 0.000000000  observed 0.000
330 0.000000000  observed 0.000
331 0.000000000  observed 0.000
332 0.000000000  observed 0.000
333 0.000000000  observed 0.000
 [ reached 'max' / getOption("max.print") -- omitted 101 rows ]
